section,metric,value
config,scenarios_path,scenarios.csv
config,out_dir,metrics_full_out_2
config,use_mock,False
config,pre_max_repairs,0
config,refine_max_iters,5
config,refine_max_patch_repairs,2
config,include_paraphrases,True
config,include_adversarial,True
scenario_benchmark,scenarios_requested,20
scenario_benchmark,scenarios_completed,19
scenario_benchmark,pre_structural_valid_rate,0.2632
scenario_benchmark,pre_overall_valid_rate,0.2632
scenario_benchmark,post_structural_valid_rate,0.7368
scenario_benchmark,post_overall_valid_rate,0.7368
scenario_benchmark,pre_downstream_ready_rate,0.2632
scenario_benchmark,post_downstream_ready_rate,0.7368
scenario_benchmark,repair_effective_count,9
scenario_benchmark,repair_effective_rate,0.6429
scenario_benchmark,avg_pre_total_issues,1.6316
scenario_benchmark,avg_post_total_issues,0.5263
scenario_benchmark,avg_issues_removed,1.1053
scenario_benchmark,avg_iterations,2.5263
scenario_benchmark,avg_pre_overall_coverage,0.945
scenario_benchmark,avg_post_overall_coverage,0.9687
paraphrase_benchmark,pairs_evaluated,20
paraphrase_benchmark,primary_pre_valid_rate,0.25
paraphrase_benchmark,paraphrase_pre_valid_rate,0.2
paraphrase_benchmark,primary_post_valid_rate,0.7
paraphrase_benchmark,paraphrase_post_valid_rate,0.7
paraphrase_benchmark,pre_validity_consistency_rate,0.85
paraphrase_benchmark,post_validity_consistency_rate,0.7
paraphrase_benchmark,post_exact_consistency_rate,0.5
paraphrase_benchmark,mean_post_similarity_score,0.7375
adversarial_suite,bundles_requested,6
adversarial_suite,bundles_completed,6
adversarial_suite,initially_invalid,6
adversarial_suite,repair_effective_count,6
adversarial_suite,repair_effective_rate,1.0
adversarial_suite,final_valid_count,6
adversarial_suite,final_valid_rate,1.0
adversarial_suite,avg_issues_removed,5.8333
adversarial_suite,avg_iterations,2.1667
artifacts,scenario_results_csv,metrics_full_out_2\scenario_results.csv
artifacts,paraphrase_results_csv,metrics_full_out_2\paraphrase_results.csv
artifacts,adversarial_results_csv,metrics_full_out_2\adversarial_results.csv
artifacts,summary_csv,metrics_full_out_2\summary.csv
artifacts,summary_json,metrics_full_out_2\summary.json
artifacts,report_md,metrics_full_out_2\report.md
